type,objective,rewrite_prompt,explain_prompt
AUTHOR,Salman Rushdie,Rewrite this text but do it using the writing style of Salman Rushdie,Describe the writing style of Salman Rushdie in 40 words
AUTHOR,Haruki Murakami,Rewrite this text but do it using the writing style of Haruki Murakami,Describe the writing style of Haruki Murakami in 40 words
AUTHOR,Gabriel Garcia Marquez,Rewrite this text but do it using the writing style of Gabriel Garcia Marquez,Describe the writing style of Gabriel Garcia Marquez in 40 words
AUTHOR,Orhan Pamuk,Rewrite this text but do it using the writing style of Orhan Pamuk,Describe the writing style of Orhan Pamuk in 40 words
AUTHOR,Wole Soyinka,Rewrite this text but do it using the writing style of Wole Soyinka,Describe the writing style of Wole Soyinka in 40 words
AUTHOR,Arundhati Roy,Rewrite this text but do it using the writing style of Arundhati Roy,Describe the writing style of Arundhati Roy in 40 words
AUTHOR,Chimamanda Ngozi Adichie,Rewrite this text but do it using the writing style of Chimamanda Ngozi Adichie,Describe the writing style of Chimamanda Ngozi Adichie in 40 words
AUTHOR,Ngugi wa Thiong'o,Rewrite this text but do it using the writing style of Ngugi wa Thiong'o,Describe the writing style of Ngugi wa Thiong'o in 40 words
AUTHOR,Derek Walcott,Rewrite this text but do it using the writing style of Derek Walcott,Describe the writing style of Derek Walcott in 40 words
AUTHOR,Seamus Heaney,Rewrite this text but do it using the writing style of Seamus Heaney,Describe the writing style of Seamus Heaney in 40 words
AUTHOR,Pablo Neruda,Rewrite this text but do it using the writing style of Pablo Neruda,Describe the writing style of Pablo Neruda in 40 words
AUTHOR,Ted Hughes,Rewrite this text but do it using the writing style of Ted Hughes,Describe the writing style of Ted Hughes in 40 words
AUTHOR,Anne Sexton,Rewrite this text but do it using the writing style of Anne Sexton,Describe the writing style of Anne Sexton in 40 words
AUTHOR,Allen Ginsberg,Rewrite this text but do it using the writing style of Allen Ginsberg,Describe the writing style of Allen Ginsberg in 40 words
AUTHOR,Derek Walcott,Rewrite this text but do it using the writing style of Derek Walcott,Describe the writing style of Derek Walcott in 40 words
AUTHOR,Seamus Heaney,Rewrite this text but do it using the writing style of Seamus Heaney,Describe the writing style of Seamus Heaney in 40 words
AUTHOR,Pablo Neruda,Rewrite this text but do it using the writing style of Pablo Neruda,Describe the writing style of Pablo Neruda in 40 words
AUTHOR,Ted Hughes,Rewrite this text but do it using the writing style of Ted Hughes,Describe the writing style of Ted Hughes in 40 words
AUTHOR,Anne Sexton,Rewrite this text but do it using the writing style of Anne Sexton,Describe the writing style of Anne Sexton in 40 words
AUTHOR,Allen Ginsberg,Rewrite this text but do it using the writing style of Allen Ginsberg,Describe the writing style of Allen Ginsberg in 40 words
AUTHOR,Robert Frost,Rewrite this text but do it using the writing style of Robert Frost,Describe the writing style of Robert Frost in 40 words
AUTHOR,Langston Hughes,Rewrite this text but do it using the writing style of Langston Hughes,Describe the writing style of Langston Hughes in 40 words
AUTHOR,T.S. Eliot,Rewrite this text but do it using the writing style of T.S. Eliot,Describe the writing style of T.S. Eliot in 40 words
AUTHOR,W.H. Auden,Rewrite this text but do it using the writing style of W.H. Auden,Describe the writing style of W.H. Auden in 40 words
AUTHOR,Sylvia Plath,Rewrite this text but do it using the writing style of Sylvia Plath,Describe the writing style of Sylvia Plath in 40 words
AUTHOR,Maya Angelou,Rewrite this text but do it using the writing style of Maya Angelou,Describe the writing style of Maya Angelou in 40 words
AUTHOR,Emily Dickinson,Rewrite this text but do it using the writing style of Emily Dickinson,Describe the writing style of Emily Dickinson in 40 words
AUTHOR,Elizabeth Barrett Browning,Rewrite this text but do it using the writing style of Elizabeth Barrett Browning,Describe the writing style of Elizabeth Barrett Browning in 40 words
AUTHOR,Walt Whitman,Rewrite this text but do it using the writing style of Walt Whitman,Describe the writing style of Walt Whitman in 40 words
AUTHOR,John Donne,Rewrite this text but do it using the writing style of John Donne,Describe the writing style of John Donne in 40 words
AUTHOR,William Butler Yeats,Rewrite this text but do it using the writing style of William Butler Yeats,Describe the writing style of William Butler Yeats in 40 words
AUTHOR,Alexander Pope,Rewrite this text but do it using the writing style of Alexander Pope,Describe the writing style of Alexander Pope in 40 words
AUTHOR,Samuel Taylor Coleridge,Rewrite this text but do it using the writing style of Samuel Taylor Coleridge,Describe the writing style of Samuel Taylor Coleridge in 40 words
AUTHOR,William Wordsworth,Rewrite this text but do it using the writing style of William Wordsworth,Describe the writing style of William Wordsworth in 40 words
AUTHOR,Geoffrey Chaucer,Rewrite this text but do it using the writing style of Geoffrey Chaucer,Describe the writing style of Geoffrey Chaucer in 40 words
AUTHOR,John Keats,Rewrite this text but do it using the writing style of John Keats,Describe the writing style of John Keats in 40 words
AUTHOR,Percy Bysshe Shelley,Rewrite this text but do it using the writing style of Percy Bysshe Shelley,Describe the writing style of Percy Bysshe Shelley in 40 words
AUTHOR,William Blake,Rewrite this text but do it using the writing style of William Blake,Describe the writing style of William Blake in 40 words
AUTHOR,William Shakespeare,Rewrite this text but do it using the writing style of William Shakespeare,Describe the writing style of William Shakespeare in 40 words
AUTHOR,Christopher Marlowe,Rewrite this text but do it using the writing style of Christopher Marlowe,Describe the writing style of Christopher Marlowe in 40 words
AUTHOR,John Milton,Rewrite this text but do it using the writing style of John Milton,Describe the writing style of John Milton in 40 words
AUTHOR,Edmund Spenser,Rewrite this text but do it using the writing style of Edmund Spenser,Describe the writing style of Edmund Spenser in 40 words
AUTHOR,Ben Jonson,Rewrite this text but do it using the writing style of Ben Jonson,Describe the writing style of Ben Jonson in 40 words
AUTHOR,Andrew Marvell,Rewrite this text but do it using the writing style of Andrew Marvell,Describe the writing style of Andrew Marvell in 40 words
AUTHOR,William Shakespeare,Rewrite this text but do it using the writing style of William Shakespeare,Describe the writing style of William Shakespeare in 40 words
AUTHOR,Geoffrey Chaucer,Rewrite this text but do it using the writing style of Geoffrey Chaucer,Describe the writing style of Geoffrey Chaucer in 40 words
AUTHOR,John Donne,Rewrite this text but do it using the writing style of John Donne,Describe the writing style of John Donne in 40 words
AUTHOR,Alexander Pope,Rewrite this text but do it using the writing style of Alexander Pope,Describe the writing style of Alexander Pope in 40 words
AUTHOR,Samuel Taylor Coleridge,Rewrite this text but do it using the writing style of Samuel Taylor Coleridge,Describe the writing style of Samuel Taylor Coleridge in 40 words
AUTHOR,William Wordsworth,Rewrite this text but do it using the writing style of William Wordsworth,Describe the writing style of William Wordsworth in 40 words
AUTHOR,Percy Bysshe Shelley,Rewrite this text but do it using the writing style of Percy Bysshe Shelley,Describe the writing style of Percy Bysshe Shelley in 40 words
AUTHOR,William Blake,Rewrite this text but do it using the writing style of William Blake,Describe the writing style of William Blake in 40 words
AUTHOR,Christopher Marlowe,Rewrite this text but do it using the writing style of Christopher Marlowe,Describe the writing style of Christopher Marlowe in 40 words
AUTHOR,John Milton,Rewrite this text but do it using the writing style of John Milton,Describe the writing style of John Milton in 40 words
AUTHOR,Edmund Spenser,Rewrite this text but do it using the writing style of Edmund Spenser,Describe the writing style of Edmund Spenser in 40 words
AUTHOR,Ben Jonson,Rewrite this text but do it using the writing style of Ben Jonson,Describe the writing style of Ben Jonson in 40 words
AUTHOR,Andrew Marvell,Rewrite this text but do it using the writing style of Andrew Marvell,Describe the writing style of Andrew Marvell in 40 words
AUTHOR,Geoffrey Chaucer,Rewrite this text but do it using the writing style of Geoffrey Chaucer,Describe the writing style of Geoffrey Chaucer in 40 words
AUTHOR,John Donne,Rewrite this text but do it using the writing style of John Donne,Describe the writing style of John Donne in 40 words
AUTHOR,Alexander Pope,Rewrite this text but do it using the writing style of Alexander Pope,Describe the writing style of Alexander Pope in 40 words
AUTHOR,Samuel Taylor Coleridge,Rewrite this text but do it using the writing style of Samuel Taylor Coleridge,Describe the writing style of Samuel Taylor Coleridge in 40 words
AUTHOR,William Wordsworth,Rewrite this text but do it using the writing style of William Wordsworth,Describe the writing style of William Wordsworth in 40 words
AUTHOR,Percy Bysshe Shelley,Rewrite this text but do it using the writing style of Percy Bysshe Shelley,Describe the writing style of Percy Bysshe Shelley in 40 words
AUTHOR,William Blake,Rewrite this text but do it using the writing style of William Blake,Describe the writing style of William Blake in 40 words
AUTHOR,Christopher Marlowe,Rewrite this text but do it using the writing style of Christopher Marlowe,Describe the writing style of Christopher Marlowe in 40 words
AUTHOR,John Milton,Rewrite this text but do it using the writing style of John Milton,Describe the writing style of John Milton in 40 words
AUTHOR,Edmund Spenser,Rewrite this text but do it using the writing style of Edmund Spenser,Describe the writing style of Edmund Spenser in 40 words
AUTHOR,Ben Jonson,Rewrite this text but do it using the writing style of Ben Jonson,Describe the writing style of Ben Jonson in 40 words
AUTHOR,Andrew Marvell,Rewrite this text but do it using the writing style of Andrew Marvell,Describe the writing style of Andrew Marvell in 40 words
AUTHOR,William Shakespeare,Rewrite this text but do it using the writing style of William Shakespeare,Describe the writing style of William Shakespeare in 40 words
AUTHOR,Geoffrey Chaucer,Rewrite this text but do it using the writing style of Geoffrey Chaucer,Describe the writing style of Geoffrey Chaucer in 40 words
AUTHOR,John Donne,Rewrite this text but do it using the writing style of John Donne,Describe the writing style of John Donne in 40 words
AUTHOR,Alexander Pope,Rewrite this text but do it using the writing style of Alexander Pope,Describe the writing style of Alexander Pope in 40 words
AUTHOR,Samuel Taylor Coleridge,Rewrite this text but do it using the writing style of Samuel Taylor Coleridge,Describe the writing style of Samuel Taylor Coleridge in 40 words
AUTHOR,William Wordsworth,Rewrite this text but do it using the writing style of William Wordsworth,Describe the writing style of William Wordsworth in 40 words
AUTHOR,Percy Bysshe Shelley,Rewrite this text but do it using the writing style of Percy Bysshe Shelley,Describe the writing style of Percy Bysshe Shelley in 40 words
AUTHOR,William Blake,Rewrite this text but do it using the writing style of William Blake,Describe the writing style of William Blake in 40 words
AUTHOR,Christopher Marlowe,Rewrite this text but do it using the writing style of Christopher Marlowe,Describe the writing style of Christopher Marlowe in 40 words
AUTHOR,John Milton,Rewrite this text but do it using the writing style of John Milton,Describe the writing style of John Milton in 40 words
BOOK,To Kill a Mockingbird,Rewrite this text but do it using the tone of To Kill a Mockingbird,"Describe the writing style of the book ""To Kill a Mockingbird"" in 40 words"
BOOK,1984,Rewrite this text but do it using the tone of 1984,"Describe the writing style of the book ""1984"" in 40 words"
BOOK,Pride and Prejudice,Rewrite this text but do it using the tone of Pride and Prejudice,"Describe the writing style of the book ""Pride and Prejudice"" in 40 words"
BOOK,The Great Gats,Rewrite this text but do it using the tone of The Great Gats,"Describe the writing style of the book ""The Great Gats"" in 40 words"
BOOK,The Catcher in the Rye,Rewrite this text but do it using the tone of The Catcher in the Rye,"Describe the writing style of the book ""The Catcher in the Rye"" in 40 words"
BOOK,The Lord of the Rings trilogy,Rewrite this text but do it using the tone of The Lord of the Rings trilogy,"Describe the writing style of the book ""The Lord of the Rings trilogy"" in 40 words"
BOOK,Harry Potter series,Rewrite this text but do it using the tone of Harry Potter series,"Describe the writing style of the book ""Harry Potter series"" in 40 words"
BOOK,The Chronicles of Narnia series,Rewrite this text but do it using the tone of The Chronicles of Narnia series,"Describe the writing style of the book ""The Chronicles of Narnia series"" in 40 words"
BOOK,Animal Farm,Rewrite this text but do it using the tone of Animal Farm,"Describe the writing style of the book ""Animal Farm"" in 40 words"
BOOK,The Hobbit,Rewrite this text but do it using the tone of The Hobbit,"Describe the writing style of the book ""The Hobbit"" in 40 words"
BOOK,Alice's Adventures in Wonderland,Rewrite this text but do it using the tone of Alice's Adventures in Wonderland,"Describe the writing style of the book ""Alice's Adventures in Wonderland"" in 40 words"
BOOK,Brave New World,Rewrite this text but do it using the tone of Brave New World,"Describe the writing style of the book ""Brave New World"" in 40 words"
BOOK,Wuthering Heights,Rewrite this text but do it using the tone of Wuthering Heights,"Describe the writing style of the book ""Wuthering Heights"" in 40 words"
BOOK,Jane Eyre,Rewrite this text but do it using the tone of Jane Eyre,"Describe the writing style of the book ""Jane Eyre"" in 40 words"
BOOK,Mo,Rewrite this text but do it using the tone of Mo,"Describe the writing style of the book ""Mo"" in 40 words"
BOOK,The Adventures of Huckleberry Finn,Rewrite this text but do it using the tone of The Adventures of Huckleberry Finn,"Describe the writing style of the book ""The Adventures of Huckleberry Finn"" in 40 words"
BOOK,A Tale of Two Cities,Rewrite this text but do it using the tone of A Tale of Two Cities,"Describe the writing style of the book ""A Tale of Two Cities"" in 40 words"
BOOK,Frankenstein,Rewrite this text but do it using the tone of Frankenstein,"Describe the writing style of the book ""Frankenstein"" in 40 words"
BOOK,The Picture of Dorian Gray,Rewrite this text but do it using the tone of The Picture of Dorian Gray,"Describe the writing style of the book ""The Picture of Dorian Gray"" in 40 words"
BOOK,War and Peace,Rewrite this text but do it using the tone of War and Peace,"Describe the writing style of the book ""War and Peace"" in 40 words"
BOOK,The Odyssey,Rewrite this text but do it using the tone of The Odyssey,"Describe the writing style of the book ""The Odyssey"" in 40 words"
BOOK,The Iliad,Rewrite this text but do it using the tone of The Iliad,"Describe the writing style of the book ""The Iliad"" in 40 words"
BOOK,Gulliver's Travels,Rewrite this text but do it using the tone of Gulliver's Travels,"Describe the writing style of the book ""Gulliver's Travels"" in 40 words"
BOOK,Little Women,Rewrite this text but do it using the tone of Little Women,"Describe the writing style of the book ""Little Women"" in 40 words"
BOOK,The Canterbury Tales,Rewrite this text but do it using the tone of The Canterbury Tales,"Describe the writing style of the book ""The Canterbury Tales"" in 40 words"
BOOK,One Hundred Years of Solitude,Rewrite this text but do it using the tone of One Hundred Years of Solitude,"Describe the writing style of the book ""One Hundred Years of Solitude"" in 40 words"
BOOK,Catch-22,Rewrite this text but do it using the tone of Catch-22,"Describe the writing style of the book ""Catch-22"" in 40 words"
BOOK,The Grapes of Wrath,Rewrite this text but do it using the tone of The Grapes of Wrath,"Describe the writing style of the book ""The Grapes of Wrath"" in 40 words"
BOOK,The Hitchhiker's Guide to the Galaxy,Rewrite this text but do it using the tone of The Hitchhiker's Guide to the Galaxy,"Describe the writing style of the book ""The Hitchhiker's Guide to the Galaxy"" in 40 words"
BOOK,The Bell Jar,Rewrite this text but do it using the tone of The Bell Jar,"Describe the writing style of the book ""The Bell Jar"" in 40 words"
BOOK,Dracula,Rewrite this text but do it using the tone of Dracula,"Describe the writing style of the book ""Dracula"" in 40 words"
BOOK,The Count of Monte Cristo,Rewrite this text but do it using the tone of The Count of Monte Cristo,"Describe the writing style of the book ""The Count of Monte Cristo"" in 40 words"
BOOK,Great Expectations,Rewrite this text but do it using the tone of Great Expectations,"Describe the writing style of the book ""Great Expectations"" in 40 words"
BOOK,The Scarlet Letter,Rewrite this text but do it using the tone of The Scarlet Letter,"Describe the writing style of the book ""The Scarlet Letter"" in 40 words"
BOOK,Lord of the Flies,Rewrite this text but do it using the tone of Lord of the Flies,"Describe the writing style of the book ""Lord of the Flies"" in 40 words"
BOOK,Don Quixote,Rewrite this text but do it using the tone of Don Quixote,"Describe the writing style of the book ""Don Quixote"" in 40 words"
BOOK,The Secret Garden,Rewrite this text but do it using the tone of The Secret Garden,"Describe the writing style of the book ""The Secret Garden"" in 40 words"
BOOK,The Alchemist,Rewrite this text but do it using the tone of The Alchemist,"Describe the writing style of the book ""The Alchemist"" in 40 words"
BOOK,Anna Karenina,Rewrite this text but do it using the tone of Anna Karenina,"Describe the writing style of the book ""Anna Karenina"" in 40 words"
BOOK,A Clockwork Orange,Rewrite this text but do it using the tone of A Clockwork Orange,"Describe the writing style of the book ""A Clockwork Orange"" in 40 words"
BOOK,The Kite Runner,Rewrite this text but do it using the tone of The Kite Runner,"Describe the writing style of the book ""The Kite Runner"" in 40 words"
BOOK,The Color Purple,Rewrite this text but do it using the tone of The Color Purple,"Describe the writing style of the book ""The Color Purple"" in 40 words"
BOOK,The Importance of Being Earnest,Rewrite this text but do it using the tone of The Importance of Being Earnest,"Describe the writing style of the book ""The Importance of Being Earnest"" in 40 words"
BOOK,The Road,Rewrite this text but do it using the tone of The Road,"Describe the writing style of the book ""The Road"" in 40 words"
BOOK,Sense and Sensibility,Rewrite this text but do it using the tone of Sense and Sensibility,"Describe the writing style of the book ""Sense and Sensibility"" in 40 words"
BOOK,Les Misérables,Rewrite this text but do it using the tone of Les Misérables,"Describe the writing style of the book ""Les Misérables"" in 40 words"
BOOK,Slaughterhouse-Five,Rewrite this text but do it using the tone of Slaughterhouse-Five,"Describe the writing style of the book ""Slaughterhouse-Five"" in 40 words"
BOOK,The Sun Also Rises,Rewrite this text but do it using the tone of The Sun Also Rises,"Describe the writing style of the book ""The Sun Also Rises"" in 40 words"
BOOK,Crime and Punishment,Rewrite this text but do it using the tone of Crime and Punishment,"Describe the writing style of the book ""Crime and Punishment"" in 40 words"
BOOK,The Wind in the Willows,Rewrite this text but do it using the tone of The Wind in the Willows,"Describe the writing style of the book ""The Wind in the Willows"" in 40 words"
BOOK,A Christmas Carol,Rewrite this text but do it using the tone of A Christmas Carol,"Describe the writing style of the book ""A Christmas Carol"" in 40 words"
BOOK,The Divine Comedy,Rewrite this text but do it using the tone of The Divine Comedy,"Describe the writing style of the book ""The Divine Comedy"" in 40 words"
BOOK,The Adventures of Sherlock Holmes,Rewrite this text but do it using the tone of The Adventures of Sherlock Holmes,"Describe the writing style of the book ""The Adventures of Sherlock Holmes"" in 40 words"
BOOK,The Jungle Book,Rewrite this text but do it using the tone of The Jungle Book,"Describe the writing style of the book ""The Jungle Book"" in 40 words"
BOOK,Gone with the Wind,Rewrite this text but do it using the tone of Gone with the Wind,"Describe the writing style of the book ""Gone with the Wind"" in 40 words"
BOOK,The Handmaid's Tale,Rewrite this text but do it using the tone of The Handmaid's Tale,"Describe the writing style of the book ""The Handmaid's Tale"" in 40 words"
BOOK,The Martian Chronicles,Rewrite this text but do it using the tone of The Martian Chronicles,"Describe the writing style of the book ""The Martian Chronicles"" in 40 words"
BOOK,The Shining,Rewrite this text but do it using the tone of The Shining,"Describe the writing style of the book ""The Shining"" in 40 words"
BOOK,The Old Man and the Sea,Rewrite this text but do it using the tone of The Old Man and the Sea,"Describe the writing style of the book ""The Old Man and the Sea"" in 40 words"
BOOK,The War of the Worlds,Rewrite this text but do it using the tone of The War of the Worlds,"Describe the writing style of the book ""The War of the Worlds"" in 40 words"
BOOK,A Wrinkle in Time,Rewrite this text but do it using the tone of A Wrinkle in Time,"Describe the writing style of the book ""A Wrinkle in Time"" in 40 words"
BOOK,Anne of Green Gables,Rewrite this text but do it using the tone of Anne of Green Gables,"Describe the writing style of the book ""Anne of Green Gables"" in 40 words"
BOOK,The Princess Bride,Rewrite this text but do it using the tone of The Princess Bride,"Describe the writing style of the book ""The Princess Bride"" in 40 words"
BOOK,The Hunger Games,Rewrite this text but do it using the tone of The Hunger Games,"Describe the writing style of the book ""The Hunger Games"" in 40 words"
BOOK,Charlotte's Web,Rewrite this text but do it using the tone of Charlotte's Web,"Describe the writing style of the book ""Charlotte's Web"" in 40 words"
BOOK,The Joy Luck Club,Rewrite this text but do it using the tone of The Joy Luck Club,"Describe the writing style of the book ""The Joy Luck Club"" in 40 words"
BOOK,The Secret Life of Bees,Rewrite this text but do it using the tone of The Secret Life of Bees,"Describe the writing style of the book ""The Secret Life of Bees"" in 40 words"
BOOK,The Outsiders,Rewrite this text but do it using the tone of The Outsiders,"Describe the writing style of the book ""The Outsiders"" in 40 words"
BOOK,The Lord of the Flies,Rewrite this text but do it using the tone of The Lord of the Flies,"Describe the writing style of the book ""The Lord of the Flies"" in 40 words"
BOOK,The Fault in Our Stars,Rewrite this text but do it using the tone of The Fault in Our Stars,"Describe the writing style of the book ""The Fault in Our Stars"" in 40 words"
BOOK,The Road Less Traveled,Rewrite this text but do it using the tone of The Road Less Traveled,"Describe the writing style of the book ""The Road Less Traveled"" in 40 words"
BOOK,The Power of Now,Rewrite this text but do it using the tone of The Power of Now,"Describe the writing style of the book ""The Power of Now"" in 40 words"
BOOK,Fahrenheit 451,Rewrite this text but do it using the tone of Fahrenheit 451,"Describe the writing style of the book ""Fahrenheit 451"" in 40 words"
BOOK,The Martian,Rewrite this text but do it using the tone of The Martian,"Describe the writing style of the book ""The Martian"" in 40 words"
BOOK,The Hunger Games series,Rewrite this text but do it using the tone of The Hunger Games series,"Describe the writing style of the book ""The Hunger Games series"" in 40 words"
BOOK,The Fault in Our Stars,Rewrite this text but do it using the tone of The Fault in Our Stars,"Describe the writing style of the book ""The Fault in Our Stars"" in 40 words"
BOOK,The Da Vinci Code,Rewrite this text but do it using the tone of The Da Vinci Code,"Describe the writing style of the book ""The Da Vinci Code"" in 40 words"
BOOK,The Help,Rewrite this text but do it using the tone of The Help,"Describe the writing style of the book ""The Help"" in 40 words"
BOOK,A Thousand Splendid Suns,Rewrite this text but do it using the tone of A Thousand Splendid Suns,"Describe the writing style of the book ""A Thousand Splendid Suns"" in 40 words"
BOOK,The Girl with the Dragon Tattoo,Rewrite this text but do it using the tone of The Girl with the Dragon Tattoo,"Describe the writing style of the book ""The Girl with the Dragon Tattoo"" in 40 words"
BOOK,The Lovely Bones,Rewrite this text but do it using the tone of The Lovely Bones,"Describe the writing style of the book ""The Lovely Bones"" in 40 words"
BOOK,The Time Traveler's Wife,Rewrite this text but do it using the tone of The Time Traveler's Wife,"Describe the writing style of the book ""The Time Traveler's Wife"" in 40 words"
BOOK,The Notebook,Rewrite this text but do it using the tone of The Notebook,"Describe the writing style of the book ""The Notebook"" in 40 words"
BOOK,Life of Pi,Rewrite this text but do it using the tone of Life of Pi,"Describe the writing style of the book ""Life of Pi"" in 40 words"
BOOK,The Curious Incident of the Dog in the Night-Time,Rewrite this text but do it using the tone of The Curious Incident of the Dog in the Night-Time,"Describe the writing style of the book ""The Curious Incident of the Dog in the Night-Time"" in 40 words"
BOOK,The Book Thief,Rewrite this text but do it using the tone of The Book Thief,"Describe the writing style of the book ""The Book Thief"" in 40 words"
BOOK,The Road,Rewrite this text but do it using the tone of The Road,"Describe the writing style of the book ""The Road"" in 40 words"
BOOK,The Secret,Rewrite this text but do it using the tone of The Secret,"Describe the writing style of the book ""The Secret"" in 40 words"
BOOK,The Night Circus,Rewrite this text but do it using the tone of The Night Circus,"Describe the writing style of the book ""The Night Circus"" in 40 words"
BOOK,The Goldfinch,Rewrite this text but do it using the tone of The Goldfinch,"Describe the writing style of the book ""The Goldfinch"" in 40 words"
BOOK,The Fault in Our Stars,Rewrite this text but do it using the tone of The Fault in Our Stars,"Describe the writing style of the book ""The Fault in Our Stars"" in 40 words"
BOOK,The Great Gats,Rewrite this text but do it using the tone of The Great Gats,"Describe the writing style of the book ""The Great Gats"" in 40 words"
BOOK,The Handmaid's Tale,Rewrite this text but do it using the tone of The Handmaid's Tale,"Describe the writing style of the book ""The Handmaid's Tale"" in 40 words"
BOOK,The Hobbit,Rewrite this text but do it using the tone of The Hobbit,"Describe the writing style of the book ""The Hobbit"" in 40 words"
BOOK,The Hunger Games,Rewrite this text but do it using the tone of The Hunger Games,"Describe the writing style of the book ""The Hunger Games"" in 40 words"
BOOK,The Kite Runner,Rewrite this text but do it using the tone of The Kite Runner,"Describe the writing style of the book ""The Kite Runner"" in 40 words"
BOOK,"The Lion, the Witch and the Wardrobe","Rewrite this text but do it using the tone of The Lion, the Witch and the Wardrobe","Describe the writing style of the book ""The Lion, the Witch and the Wardrobe"" in 40 words"
BOOK,The Lord of the Rings,Rewrite this text but do it using the tone of The Lord of the Rings,"Describe the writing style of the book ""The Lord of the Rings"" in 40 words"
BOOK,The Secret Garden,Rewrite this text but do it using the tone of The Secret Garden,"Describe the writing style of the book ""The Secret Garden"" in 40 words"
BOOK,The Time Traveler's Wife,Rewrite this text but do it using the tone of The Time Traveler's Wife,"Describe the writing style of the book ""The Time Traveler's Wife"" in 40 words"
DOC,thesis,Rewrite this text as if it was a thesis document,"Describe what is the ""thesis"" document in 40 words"
DOC,dissertation,Rewrite this text as if it was a dissertation document,"Describe what is the ""dissertation"" document in 40 words"
DOC,research paper,Rewrite this text as if it was a research paper document,"Describe what is the ""research paper"" document in 40 words"
DOC,business plan,Rewrite this text as if it was a business plan document,"Describe what is the ""business plan"" document in 40 words"
DOC,financial analysis,Rewrite this text as if it was a financial analysis document,"Describe what is the ""financial analysis"" document in 40 words"
DOC,executive summary,Rewrite this text as if it was a executive summary document,"Describe what is the ""executive summary"" document in 40 words"
DOC,business proposal,Rewrite this text as if it was a business proposal document,"Describe what is the ""business proposal"" document in 40 words"
DOC,marketing plan,Rewrite this text as if it was a marketing plan document,"Describe what is the ""marketing plan"" document in 40 words"
DOC,strategic plan,Rewrite this text as if it was a strategic plan document,"Describe what is the ""strategic plan"" document in 40 words"
DOC,annual report,Rewrite this text as if it was a annual report document,"Describe what is the ""annual report"" document in 40 words"
DOC,case study,Rewrite this text as if it was a case study document,"Describe what is the ""case study"" document in 40 words"
DOC,white paper,Rewrite this text as if it was a white paper document,"Describe what is the ""white paper"" document in 40 words"
DOC,feasibility study,Rewrite this text as if it was a feasibility study document,"Describe what is the ""feasibility study"" document in 40 words"
DOC,market research report,Rewrite this text as if it was a market research report document,"Describe what is the ""market research report"" document in 40 words"
DOC,business model canvas,Rewrite this text as if it was a business model canvas document,"Describe what is the ""business model canvas"" document in 40 words"
DOC,swot analysis,Rewrite this text as if it was a swot analysis document,"Describe what is the ""swot analysis"" document in 40 words"
DOC,project proposal,Rewrite this text as if it was a project proposal document,"Describe what is the ""project proposal"" document in 40 words"
DOC,pitch deck,Rewrite this text as if it was a pitch deck document,"Describe what is the ""pitch deck"" document in 40 words"
DOC,sales forecast,Rewrite this text as if it was a sales forecast document,"Describe what is the ""sales forecast"" document in 40 words"
DOC,product roadmap,Rewrite this text as if it was a product roadmap document,"Describe what is the ""product roadmap"" document in 40 words"
DOC,competitive analysis,Rewrite this text as if it was a competitive analysis document,"Describe what is the ""competitive analysis"" document in 40 words"
DOC,product specification document,Rewrite this text as if it was a product specification document document,"Describe what is the ""product specification document"" document in 40 words"
DOC,risk assessment report,Rewrite this text as if it was a risk assessment report document,"Describe what is the ""risk assessment report"" document in 40 words"
DOC,business requirement document,Rewrite this text as if it was a business requirement document document,"Describe what is the ""business requirement document"" document in 40 words"
DOC,user manual,Rewrite this text as if it was a user manual document,"Describe what is the ""user manual"" document in 40 words"
DOC,instruction manual,Rewrite this text as if it was a instruction manual document,"Describe what is the ""instruction manual"" document in 40 words"
DOC,standard operating procedure (sop),Rewrite this text as if it was a standard operating procedure (sop) document,"Describe what is the ""standard operating procedure (sop)"" document in 40 words"
DOC,corporate governance document,Rewrite this text as if it was a corporate governance document document,"Describe what is the ""corporate governance document"" document in 40 words"
DOC,employee handbook,Rewrite this text as if it was a employee handbook document,"Describe what is the ""employee handbook"" document in 40 words"
DOC,code of conduct,Rewrite this text as if it was a code of conduct document,"Describe what is the ""code of conduct"" document in 40 words"
DOC,compliance report,Rewrite this text as if it was a compliance report document,"Describe what is the ""compliance report"" document in 40 words"
DOC,policy brief,Rewrite this text as if it was a policy brief document,"Describe what is the ""policy brief"" document in 40 words"
DOC,marketing strategy document,Rewrite this text as if it was a marketing strategy document document,"Describe what is the ""marketing strategy document"" document in 40 words"
DOC,brand guidelines,Rewrite this text as if it was a brand guidelines document,"Describe what is the ""brand guidelines"" document in 40 words"
DOC,crisis management plan,Rewrite this text as if it was a crisis management plan document,"Describe what is the ""crisis management plan"" document in 40 words"
DOC,partnership agreement,Rewrite this text as if it was a partnership agreement document,"Describe what is the ""partnership agreement"" document in 40 words"
DOC,non-disclosure agreement (nda),Rewrite this text as if it was a non-disclosure agreement (nda) document,"Describe what is the ""non-disclosure agreement (nda)"" document in 40 words"
DOC,memorandum of understanding (mou),Rewrite this text as if it was a memorandum of understanding (mou) document,"Describe what is the ""memorandum of understanding (mou)"" document in 40 words"
DOC,shareholder agreement,Rewrite this text as if it was a shareholder agreement document,"Describe what is the ""shareholder agreement"" document in 40 words"
